,Time,Potential
65,0.65,-0.007421208033842093
66,0.66,-0.007506648621459756
67,0.67,-0.007594063612214914
68,0.68,-0.0076834879254778585
69,0.6900000000000001,-0.00777495784819575
70,0.7000000000000001,-0.007868509137407229
71,0.71,-0.007964176224344371
72,0.72,-0.008061995018411004
73,0.73,-0.008162003431951467
74,0.74,-0.008264240074631935
75,0.75,-0.008368744203137652
76,0.76,-0.008475555728554907
77,0.77,-0.008584715223728381
78,0.78,-0.008696263930590652
79,0.79,-0.008810243804695556
80,0.8,-0.008926697986399803
81,0.81,-0.009045671012771154
82,0.8200000000000001,-0.009167208324539306
83,0.8300000000000001,-0.009291356118542654
84,0.84,-0.009418161482147793
85,0.85,-0.009547672408681259
86,0.86,-0.00967993781092338
87,0.87,-0.009815007534788483
88,0.88,-0.0099529323731949
89,0.89,-0.010093764083333892
90,0.9,-0.010237555475038455
91,0.91,-0.010384360541174274
92,0.92,-0.010534234420917889
93,0.93,-0.010687233299981459
94,0.9400000000000001,-0.010843414407976143
95,0.9500000000000001,-0.011002836033944887
96,0.96,-0.011165557542106366
97,0.97,-0.011331639387802935
98,0.98,-0.011501143133641204
99,0.99,-0.011674131398753488
100,1.0,-0.011850667868697321
101,1.01,-0.012030817773254836
102,1.02,-0.01221464794503005
103,1.03,-0.012402226393123736
104,1.04,-0.012593622238296982
105,1.05,-0.012788905726726042
106,1.06,-0.012988148243820464
107,1.07,-0.013191422328099809
108,1.08,-0.013398801684349758
109,1.09,-0.013610361162333513
110,1.1,-0.013826177155269823
111,1.11,-0.0140463281668134
112,1.12,-0.01427089446213315
113,1.1300000000000001,-0.014499957538544106
114,1.1400000000000001,-0.014733600092928376
115,1.1500000000000001,-0.014971906033342698
116,1.16,-0.015214960490551639
117,1.17,-0.015462849829480197
118,1.18,-0.015715661654168413
119,1.19,-0.015973484775354367
120,1.2,-0.016236410057815537
121,1.21,-0.01650453116943856
122,1.22,-0.016777943749658714
123,1.23,-0.017056744682089883
124,1.24,-0.01734103206852125
125,1.25,-0.01763090523439965
126,1.26,-0.017926464733974266
127,1.27,-0.01822781235509984
128,1.28,-0.018535051100628787
129,1.29,-0.018848285280474168
130,1.3,-0.01916762214803095
131,1.31,-0.019493172615970125
132,1.32,-0.019825049603228704
133,1.33,-0.020163367183647703
134,1.34,-0.020508240565409033
135,1.35,-0.02085978608496945
136,1.36,-0.02121812120025558
137,1.37,-0.021583364483099072
138,1.3800000000000001,-0.02195563573814124
139,1.3900000000000001,-0.022335057548677192
140,1.4000000000000001,-0.022721756369531238
141,1.41,-0.023115861006278902
142,1.42,-0.02351750152652595
143,1.43,-0.023926809359408226
144,1.44,-0.024343917294360157
145,1.45,-0.024768959477056814
146,1.46,-0.02520207133283301
147,1.47,-0.025643389299649044
148,1.48,-0.026093053230677926
149,1.49,-0.026551207780013537
150,1.5,-0.027017999724382322
151,1.51,-0.027493576472007668
152,1.52,-0.027978085995589982
153,1.53,-0.02847167678642819
154,1.54,-0.02897449779600956
155,1.55,-0.02948669900854099
156,1.56,-0.03000843516771672
157,1.57,-0.030539866992172638
158,1.58,-0.031081157340539504
159,1.59,-0.031632469219095516
160,1.6,-0.03219396566062694
161,1.61,-0.032765809648583416
162,1.62,-0.03334816403086176
163,1.6300000000000001,-0.033941191916548846
164,1.6400000000000001,-0.03454506128879019
165,1.6500000000000001,-0.035159947717872
166,1.6600000000000001,-0.035786029647004045
167,1.67,-0.03642348494596145
168,1.68,-0.037072490646043524
169,1.69,-0.03773322282113791
170,1.7,-0.03840585646192061
171,1.71,-0.039090565645281135
172,1.72,-0.039787529005597885
173,1.73,-0.04049693481807149
174,1.74,-0.0412189755471244
175,1.75,-0.04195384205086078
176,1.76,-0.04270172299145127
177,1.77,-0.043462804653904896
178,1.78,-0.044237270760111455
179,1.79,-0.04502530404883331
180,1.8,-0.04582709416756994
181,1.81,-0.04664283796797742
182,1.82,-0.04747273180429387
183,1.83,-0.04831697021591101
184,1.84,-0.04917574624449356
185,1.85,-0.050049251255990856
186,1.86,-0.050937673807392614
187,1.87,-0.05184120463926696
188,1.8800000000000001,-0.052760043339698484
189,1.8900000000000001,-0.053694391898414136
190,1.9000000000000001,-0.0546444469856681
191,1.9100000000000001,-0.05561039915603809
192,1.92,-0.05659243255347285
193,1.93,-0.05759072858292693
194,1.94,-0.05860547790784119
195,1.95,-0.0596368802818648
196,1.96,-0.06068513194565446
197,1.97,-0.061750421218513624
198,1.98,-0.06283292804370222
199,1.99,-0.0639328237860976
200,2.0,-0.06505027831574262
201,2.0100000000000002,-0.066185473490432
202,2.02,-0.06733859778376124
203,2.0300000000000002,-0.06850983154307684
204,2.04,-0.06969934383313249
205,2.05,-0.07090729190869055
206,2.06,-0.07213382167228673
207,2.07,-0.07337908078125452
208,2.08,-0.07464323166584466
209,2.09,-0.07592643848312944
210,2.1,-0.07722885175241595
211,2.11,-0.07855060634885155
212,2.12,-0.0798918208295475
213,2.13,-0.08125260028302483
214,2.14,-0.08263305705420713
215,2.15,-0.08403331914474625
216,2.16,-0.08545350840031207
217,2.17,-0.08689372703852517
218,2.18,-0.08835405634836183
219,2.19,-0.08983455643677349
220,2.2,-0.09133527911175396
221,2.21,-0.092856286507504
222,2.22,-0.09439764122803372
223,2.23,-0.09595938977248819
224,2.24,-0.09754156157004312
225,2.25,-0.09914416846397267
226,2.2600000000000002,-0.10076720412421371
227,2.27,-0.10241065008016512
228,2.2800000000000002,-0.10407448702148303
229,2.29,-0.10575867811370869
230,2.3000000000000003,-0.10746315895928031
231,2.31,-0.10918785195783792
232,2.32,-0.11093266869097182
233,2.33,-0.11269750969934066
234,2.34,-0.11448226344192294
235,2.35,-0.11628679544026457
236,2.36,-0.11811094147056252
237,2.37,-0.11995451652075691
238,2.38,-0.12181731797031739
239,2.39,-0.12369912267849165
240,2.4,-0.12559968645821382
241,2.41,-0.12751874357369544
242,2.42,-0.12945600387209352
243,2.43,-0.1314111495524624
244,2.44,-0.13338383902394357
245,2.45,-0.1353737070927646
246,2.46,-0.13738035977376975
247,2.47,-0.1394033731207832
248,2.48,-0.14144229258278077
249,2.49,-0.14349663258221626
250,2.5,-0.14556587832636556
251,2.5100000000000002,-0.14764948670263994
252,2.52,-0.14974688269425862
253,2.5300000000000002,-0.15185745648765656
254,2.54,-0.1539805628303645
255,2.5500000000000003,-0.1561155204113782
256,2.56,-0.1582616112764028
257,2.57,-0.16041808133847313
258,2.58,-0.16258414055420886
259,2.59,-0.16475895976657587
260,2.6,-0.1669416688501398
261,2.61,-0.1691313572539667
262,2.62,-0.17132707358997168
263,2.63,-0.17352782514069137
264,2.64,-0.175732577882231
265,2.65,-0.17794025642798067
266,2.66,-0.18014973807266055
267,2.67,-0.18235985063876406
268,2.68,-0.18456937725776754
269,2.69,-0.18677705748922543
270,2.7,-0.1889815870726556
271,2.71,-0.1911816178305619
272,2.72,-0.1933757582717714
273,2.73,-0.19556256444970274
274,2.74,-0.1977405324178588
275,2.75,-0.19990810763931074
276,2.7600000000000002,-0.2020636925069658
277,2.77,-0.20420564676413658
278,2.7800000000000002,-0.20633228771968654
279,2.79,-0.20844188844423406
280,2.8000000000000003,-0.21053266613277535
281,2.81,-0.21260277935312963
282,2.82,-0.21465033955989413
283,2.83,-0.21667341539349205
284,2.84,-0.21867003278683295
285,2.85,-0.22063817663325921
286,2.86,-0.22257578988698723
287,2.87,-0.22448075794074857
288,2.88,-0.22635091085225295
289,2.89,-0.22818404450657
290,2.9,-0.22997792678219858
291,2.91,-0.23173029895589245
292,2.92,-0.23343886762068408
293,2.93,-0.23510128114878545
294,2.94,-0.2367151369157623
295,2.95,-0.23827801127710344
296,2.96,-0.23978746858743172
297,2.97,-0.24124106330976935
298,2.98,-0.24263633202839863
299,2.99,-0.24397076440198803
300,3.0,-0.24524180841012594
