time,x1,x2,y1,y2
4.47,0.207642677,0.563725831,-0.207642677,-0.563725831
4.48,0.212998234,0.56767991,-0.212998234,-0.56767991
4.49,0.218313272,0.571526003,-0.218313272,-0.571526003
4.5,0.223586211,0.575261889,-0.223586211,-0.575261889
4.51,0.228815911,0.578886524,-0.228815911,-0.578886524
4.52,0.234001589,0.582399786,-0.234001589,-0.582399786
4.53,0.23914276,0.585802269,-0.23914276,-0.585802269
4.54,0.244239178,0.58909512,-0.244239178,-0.58909512
4.55,0.249290793,0.592279902,-0.249290793,-0.592279902
4.56,0.254297713,0.59535849,-0.254297713,-0.59535849
4.57,0.259260175,0.598332986,-0.259260175,-0.598332986
4.58,0.264178516,0.60120565,-0.264178516,-0.60120565
4.59,0.269053153,0.60397885,-0.269053153,-0.60397885
4.6,0.273884569,0.606655018,-0.273884569,-0.606655018
4.61,0.278673292,0.609236616,-0.278673292,-0.609236616
4.62,0.28341989,0.611726112,-0.28341989,-0.611726112
4.63,0.288124956,0.61412596,-0.288124956,-0.61412596
4.64,0.2927891,0.616438583,-0.2927891,-0.616438583
4.65,0.297412949,0.61866636,-0.297412949,-0.61866636
4.66,0.301997133,0.620811624,-0.301997133,-0.620811624
4.67,0.306542286,0.622876647,-0.306542286,-0.622876647
4.68,0.31104904,0.62486364,-0.31104904,-0.62486364
4.69,0.315518024,0.626774753,-0.315518024,-0.626774753
4.7,0.31994986,0.628612068,-0.31994986,-0.628612068
4.71,0.324345162,0.630377599,-0.324345162,-0.630377599
4.72,0.328704534,0.632073297,-0.328704534,-0.632073297
4.73,0.33302857,0.633701041,-0.33302857,-0.633701041
4.74,0.337317852,0.635262651,-0.337317852,-0.635262651
4.75,0.34157295,0.636759879,-0.34157295,-0.636759879
4.76,0.34579442,0.638194417,-0.34579442,-0.638194417
4.77,0.349982808,0.639567892,-0.349982808,-0.639567892
4.78,0.354138643,0.64088188,-0.354138643,-0.64088188
4.79,0.358262444,0.642137892,-0.358262444,-0.642137892
4.8,0.362354714,0.643337388,-0.362354714,-0.643337388
4.81,0.366415946,0.644481775,-0.366415946,-0.644481775
4.82,0.370446618,0.645572408,-0.370446618,-0.645572408
4.83,0.374447196,0.646610593,-0.374447196,-0.646610593
4.84,0.378418131,0.64759759,-0.378418131,-0.64759759
4.85,0.382359866,0.648534614,-0.382359866,-0.648534614
4.86,0.386272829,0.649422836,-0.386272829,-0.649422836
4.87,0.390157433,0.650263373,-0.390157433,-0.650263373
4.88,0.394014088,0.651057331,-0.394014088,-0.651057331
4.89,0.397843187,0.651805754,-0.397843187,-0.651805754
4.9,0.401645109,0.652509647,-0.401645109,-0.652509647
4.91,0.405420232,0.653170005,-0.405420232,-0.653170005
4.92,0.409168915,0.653787762,-0.409168915,-0.653787762
4.93,0.412891507,0.654363828,-0.412891507,-0.654363828
4.94,0.416588357,0.654899099,-0.416588357,-0.654899099
4.95,0.420259792,0.655394413,-0.420259792,-0.655394413
4.96,0.423906137,0.655850596,-0.423906137,-0.655850596
4.97,0.427527709,0.656268454,-0.427527709,-0.656268454
4.98,0.43112481,0.656648745,-0.43112481,-0.656648745
4.99,0.434697739,0.656992219,-0.434697739,-0.656992219
5,0.438246788,0.657299602,-0.438246788,-0.657299602
5.01,0.441772235,0.657571583,-0.441772235,-0.657571583
5.02,0.445274357,0.657808843,-0.445274357,-0.657808843
5.03,0.448753419,0.65801204,-0.448753419,-0.65801204
5.04,0.45220968,0.658181798,-0.45220968,-0.658181798
5.05,0.455643396,0.658318746,-0.455643396,-0.658318746
5.06,0.459054815,0.658423482,-0.459054815,-0.658423482
5.07,0.462444167,0.658496565,-0.462444167,-0.658496565
5.08,0.465811685,0.658538547,-0.465811685,-0.658538547
5.09,0.469157599,0.658549984,-0.469157599,-0.658549984
5.1,0.472482139,0.658531426,-0.472482139,-0.658531426
5.11,0.475785516,0.658483377,-0.475785516,-0.658483377
5.12,0.479067935,0.658406316,-0.479067935,-0.658406316
5.13,0.482329597,0.658300722,-0.482329597,-0.658300722
5.14,0.485570705,0.658167073,-0.485570705,-0.658167073
5.15,0.48879146,0.658005843,-0.48879146,-0.658005843
5.16,0.491992049,0.657817469,-0.491992049,-0.657817469
5.17,0.49517265,0.657602366,-0.49517265,-0.657602366
5.18,0.498333441,0.657360949,-0.498333441,-0.657360949
5.19,0.501474601,0.657093635,-0.501474601,-0.657093635
5.2,0.504596307,0.656800836,-0.504596307,-0.656800836
5.21,0.507698722,0.656482929,-0.507698722,-0.656482929
5.22,0.510782004,0.656140278,-0.510782004,-0.656140278
5.23,0.51384631,0.655773247,-0.51384631,-0.655773247
5.24,0.516891798,0.655382198,-0.516891798,-0.655382198
5.25,0.519918623,0.654967492,-0.519918623,-0.654967492
5.26,0.52292693,0.654529458,-0.52292693,-0.654529458
5.27,0.525916857,0.654068417,-0.525916857,-0.654068417
5.28,0.528888544,0.653584688,-0.528888544,-0.653584688
5.29,0.531842131,0.653078589,-0.531842131,-0.653078589
5.3,0.534777754,0.652550435,-0.534777754,-0.652550435
5.31,0.537695541,0.652000519,-0.537695541,-0.652000519
5.32,0.540595614,0.651429122,-0.540595614,-0.651429122
5.33,0.543478099,0.650836526,-0.543478099,-0.650836526
5.34,0.546343116,0.650223013,-0.546343116,-0.650223013
5.35,0.549190789,0.64958886,-0.549190789,-0.64958886
5.36,0.552021229,0.648934325,-0.552021229,-0.648934325
5.37,0.554834546,0.648259659,-0.554834546,-0.648259659
5.38,0.557630849,0.647565111,-0.557630849,-0.647565111
5.39,0.560410247,0.646850931,-0.560410247,-0.646850931
5.4,0.563172848,0.646117368,-0.563172848,-0.646117368
5.41,0.565918752,0.64536465,-0.565918752,-0.64536465
5.42,0.568648055,0.644592998,-0.568648055,-0.644592998
5.43,0.571360853,0.643802633,-0.571360853,-0.643802633
5.44,0.57405724,0.642993774,-0.57405724,-0.642993774
5.45,0.576737313,0.642166644,-0.576737313,-0.642166644
5.46,0.579401166,0.641321457,-0.579401166,-0.641321457
5.47,0.582048882,0.640458409,-0.582048882,-0.640458409
5.48,0.584680544,0.639577695,-0.584680544,-0.639577695
5.49,0.587296237,0.638679509,-0.587296237,-0.638679509
5.5,0.589896041,0.637764043,-0.589896041,-0.637764043
5.51,0.592480041,0.636831491,-0.592480041,-0.636831491
5.52,0.595048316,0.63588204,-0.595048316,-0.63588204
5.53,0.597600939,0.634915864,-0.597600939,-0.634915864
5.54,0.600137981,0.633933132,-0.600137981,-0.633933132
5.55,0.602659514,0.632934015,-0.602659514,-0.632934015
5.56,0.60516561,0.631918685,-0.60516561,-0.631918685
5.57,0.607656339,0.63088731,-0.607656339,-0.63088731
5.58,0.610131772,0.629840056,-0.610131772,-0.629840056
5.59,0.612591968,0.628777074,-0.612591968,-0.628777074
5.6,0.615036991,0.627698515,-0.615036991,-0.627698515
5.61,0.617466901,0.626604531,-0.617466901,-0.626604531
5.62,0.61988176,0.625495273,-0.61988176,-0.625495273
5.63,0.62228163,0.624370891,-0.62228163,-0.624370891
5.64,0.624666568,0.623231529,-0.624666568,-0.623231529
5.65,0.627036628,0.622077322,-0.627036628,-0.622077322
5.66,0.629391861,0.620908405,-0.629391861,-0.620908405
5.67,0.631732321,0.619724912,-0.631732321,-0.619724912
5.68,0.63405806,0.618526977,-0.63405806,-0.618526977
5.69,0.63636913,0.617314735,-0.63636913,-0.617314735
5.7,0.63866558,0.616088311,-0.63866558,-0.616088311
5.71,0.640947454,0.614847827,-0.640947454,-0.614847827
5.72,0.643214797,0.613593402,-0.643214797,-0.613593402
5.73,0.645467654,0.612325156,-0.645467654,-0.612325156
5.74,0.647706068,0.61104321,-0.647706068,-0.61104321
5.75,0.649930085,0.609747682,-0.649930085,-0.609747682
5.76,0.652139743,0.608438684,-0.652139743,-0.608438684
5.77,0.65433508,0.607116325,-0.65433508,-0.607116325
5.78,0.656516133,0.605780711,-0.656516133,-0.605780711
5.79,0.65868294,0.60443195,-0.65868294,-0.60443195
5.8,0.660835536,0.60307015,-0.660835536,-0.60307015
5.81,0.662973961,0.601695419,-0.662973961,-0.601695419
5.82,0.665098245,0.600307856,-0.665098245,-0.600307856
5.83,0.66720842,0.598907558,-0.66720842,-0.598907558
5.84,0.669304513,0.597494618,-0.669304513,-0.597494618
5.85,0.671386554,0.596069133,-0.671386554,-0.596069133
5.86,0.673454573,0.594631196,-0.673454573,-0.594631196
5.87,0.675508598,0.593180902,-0.675508598,-0.593180902
5.88,0.677548658,0.591718347,-0.677548658,-0.591718347
5.89,0.679574782,0.590243624,-0.679574782,-0.590243624
