t,x1,y1,x2,y2,x3,y3
3.03,1.308495129,0.942002712,-1.733445871,-0.164558449,0.424950742,-0.777444263
3.04,1.308072036,0.946464852,-1.733470381,-0.162387854,0.425398345,-0.784076998
3.05,1.307627934,0.950900115,-1.733466886,-0.160219473,0.425838952,-0.790680643
3.06,1.307163021,0.955308694,-1.733435462,-0.158053357,0.426272441,-0.797255338
3.07,1.306677487,0.959690777,-1.73337618,-0.155889557,0.426698693,-0.80380122
3.08,1.306171508,0.964046539,-1.733289113,-0.153728122,0.427117605,-0.810318417
3.09,1.305645255,0.968376155,-1.73317433,-0.151569098,0.427529075,-0.816807057
3.1,1.305098897,0.972679799,-1.733031901,-0.149412534,0.427933003,-0.823267265
3.11,1.304532608,0.976957645,-1.732861897,-0.147258476,0.428329289,-0.829699169
3.12,1.303946557,0.981209866,-1.732664388,-0.145106971,0.42871783,-0.836102895
3.13,1.30334091,0.985436633,-1.732439443,-0.142958067,0.429098532,-0.842478567
3.14,1.302715819,0.989638106,-1.732187129,-0.140811806,0.42947131,-0.848826301
3.15,1.302071433,0.993814443,-1.731907513,-0.138668232,0.42983608,-0.855146211
3.16,1.301407899,0.997965803,-1.731600661,-0.136527389,0.430192761,-0.861438414
3.17,1.300725369,1.002092343,-1.731266639,-0.13438932,0.43054127,-0.867703023
3.18,1.30002399,1.006194222,-1.730905515,-0.132254068,0.430881524,-0.873940153
3.19,1.299303907,1.010271594,-1.730517353,-0.130121676,0.431213446,-0.880149918
3.2,1.29856525,1.014324604,-1.730102216,-0.127992183,0.431536966,-0.88633242
3.21,1.297808149,1.018353396,-1.729660167,-0.12586563,0.431852018,-0.892487766
3.22,1.297032736,1.022358115,-1.729191269,-0.123742056,0.432158533,-0.898616059
3.23,1.296239139,1.026338904,-1.728695583,-0.121621501,0.432456444,-0.904717404
3.24,1.29542749,1.030295908,-1.728173174,-0.119504004,0.432745684,-0.910791904
3.25,1.294597913,1.034229267,-1.727624101,-0.117389605,0.433026189,-0.916839662
3.26,1.293750521,1.038139111,-1.727048425,-0.115278339,0.433297904,-0.922860772
3.27,1.29288543,1.042025573,-1.726446203,-0.113170244,0.433560773,-0.928855329
3.28,1.292002752,1.045888784,-1.725817495,-0.111065356,0.433814743,-0.934823428
3.29,1.291102602,1.049728875,-1.725162359,-0.108963712,0.434059757,-0.940765164
3.3,1.290185094,1.053545978,-1.724480854,-0.106865347,0.43429576,-0.946680631
3.31,1.289250335,1.057340218,-1.723773037,-0.104770298,0.434522702,-0.95256992
3.32,1.288298425,1.061111716,-1.723038964,-0.102678598,0.434740538,-0.958433119
3.33,1.287329465,1.064860592,-1.722278689,-0.10059028,0.434949224,-0.964270312
3.34,1.286343553,1.068586965,-1.721492267,-0.098505378,0.435148713,-0.970081587
3.35,1.28534079,1.072290954,-1.720679753,-0.096423925,0.435338962,-0.975867029
3.36,1.284321276,1.075972681,-1.719841202,-0.094345956,0.435519926,-0.981626725
3.37,1.283285106,1.079632262,-1.718976668,-0.092271503,0.435691562,-0.987360759
3.38,1.282232367,1.083269804,-1.718086202,-0.090200597,0.435853836,-0.993069207
3.39,1.281163144,1.086885415,-1.717169855,-0.088133267,0.436006711,-0.998752148
3.4,1.280077522,1.090479203,-1.716227676,-0.086069546,0.436150154,-1.004409657
3.41,1.278975586,1.094051274,-1.715259716,-0.084009462,0.436284131,-1.010041812
3.42,1.277857421,1.097601736,-1.714266026,-0.081953046,0.436408605,-1.015648689
3.43,1.276723113,1.101130695,-1.713246656,-0.07990033,0.436523543,-1.021230365
3.44,1.275572747,1.104638259,-1.712201656,-0.077851342,0.436628909,-1.026786917
3.45,1.274406401,1.108124531,-1.711131075,-0.075806113,0.436724674,-1.032318417
3.46,1.273224147,1.111589604,-1.710034958,-0.07376467,0.436810811,-1.037824934
3.47,1.272026056,1.115033574,-1.708913351,-0.07172704,0.436887295,-1.043306534
3.48,1.270812198,1.118456534,-1.707766299,-0.069693249,0.436954101,-1.048763285
3.49,1.269582644,1.121858578,-1.706593847,-0.067663326,0.437011203,-1.054195252
3.5,1.268337464,1.125239801,-1.70539604,-0.065637297,0.437058576,-1.059602504
3.51,1.267076729,1.128600297,-1.704172923,-0.06361519,0.437096194,-1.064985107
3.52,1.265800509,1.13194016,-1.702924542,-0.061597032,0.437124033,-1.070343128
3.53,1.264508873,1.135259481,-1.701650941,-0.059582849,0.437142068,-1.075676632
3.54,1.263201879,1.138558344,-1.70035216,-0.057572666,0.437150281,-1.080985678
3.55,1.261879586,1.141836832,-1.69902824,-0.055566507,0.437148655,-1.086270325
3.56,1.260542051,1.145095028,-1.697679221,-0.053564397,0.43713717,-1.091530631
3.57,1.259189334,1.148333013,-1.696305142,-0.05156636,0.437115809,-1.096766654
3.58,1.257821492,1.151550871,-1.694906045,-0.04957242,0.437084553,-1.101978451
3.59,1.256438583,1.154748685,-1.693481968,-0.047582602,0.437043385,-1.107166083
3.6,1.255040666,1.157926535,-1.692032953,-0.04559693,0.436992286,-1.112329605
3.61,1.253627798,1.161084505,-1.690559038,-0.043615428,0.43693124,-1.117469077
3.62,1.252200028,1.164222668,-1.68906026,-0.041638118,0.436860232,-1.122584549
